Seasons,G,AB,R,H,2B,3B,HR,RBI,SB,BB,SO,IBB,HBP,SH,SF,GIDP
1,29,89,9,25,4,0,0,7.0,0.0,6,25.0,0.0,1.0,0.0,0.0,7.0
15,1424,5557,844,1588,249,48,9,394.0,154.0,453,223.0,0.0,28.0,136.0,0.0,14.0
4,180,395,61,101,16,5,0,38.0,5.0,38,50.0,0.0,2.0,12.0,0.0,0.0
13,574,78,2,4,1,0,0,2.0,0.0,7,41.0,0.0,0.0,12.0,1.0,1.0
5,65,88,4,9,1,1,0,2.0,0.0,3,18.0,0.0,0.0,1.0,0.0,0.0
2,25,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
17,1959,6606,823,1832,295,35,336,1122.0,20.0,594,1059.0,55.0,17.0,52.0,35.0,223.0
4,56,1,0,0,0,0,0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0
6,208,534,70,150,22,2,2,47.0,8.0,37,47.0,0.0,0.0,5.0,0.0,9.0
4,70,144,11,34,8,1,1,15.0,0.0,2,27.0,0.0,0.0,1.0,3.0,1.0
5,151,396,48,92,18,4,5,39.0,7.0,29,111.0,0.0,0.0,3.0,3.0,5.0
8,274,1231,227,341,36,13,1,167.0,35.0,20,9.0,0.0,0.0,0.0,0.0,0.0
2,73,254,26,52,9,2,7,33.0,2.0,15,87.0,0.0,2.0,1.0,0.0,6.0
2,4,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
7,106,262,36,70,7,3,3,32.0,3.0,19,29.0,0.0,0.0,0.0,0.0,1.0
3,38,22,2,5,1,0,1,3.0,0.0,0,10.0,0.0,0.0,1.0,0.0,0.0
1,3,7,2,1,0,0,0,0.0,0.0,2,2.0,0.0,0.0,0.0,0.0,0.0
2,6,12,1,2,0,0,0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0
2,76,116,9,21,3,3,0,6.0,1.0,6,26.0,0.0,1.0,10.0,0.0,0.0
1,1,5,1,2,0,0,0,0.0,0.0,0,2.0,0.0,0.0,0.0,0.0,0.0
6,119,1,0,0,0,0,0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0
1,5,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2,43,50,2,7,3,0,0,5.0,0.0,0,21.0,0.0,0.0,5.0,0.0,0.0
6,106,256,9,43,3,1,1,11.0,0.0,18,80.0,5.0,2.0,2.0,1.0,9.0
1,1,2,0,0,0,0,0,0.0,0.0,0,2.0,0.0,0.0,0.0,0.0,0.0
9,575,1261,175,308,72,9,21,142.0,18.0,115,272.0,5.0,18.0,17.0,16.0,18.0
4,45,79,4,15,2,2,0,7.0,0.0,5,32.0,0.0,0.0,1.0,1.0,1.0
16,774,17,0,3,0,0,0,2.0,0.0,2,6.0,0.0,0.0,0.0,0.0,0.0
7,383,1091,145,299,57,6,39,156.0,16.0,139,246.0,7.0,15.0,1.0,8.0,31.0
14,1129,3912,558,999,170,27,130,433.0,167.0,342,918.0,26.0,34.0,21.0,15.0,99.0
2,157,517,65,135,23,9,11,67.0,8.0,57,67.0,0.0,0.0,7.0,6.0,9.0
5,234,751,121,185,22,10,0,36.0,38.0,131,130.0,0.0,1.0,21.0,0.0,0.0
7,563,1537,105,314,41,14,2,98.0,29.0,102,216.0,0.0,25.0,47.0,0.0,0.0
17,543,20,0,2,0,0,0,0.0,0.0,1,7.0,0.0,0.0,1.0,0.0,0.0
1,15,22,0,2,0,0,0,2.0,0.0,0,9.0,0.0,0.0,1.0,1.0,0.0
12,568,1104,142,260,43,10,37,109.0,7.0,94,220.0,12.0,20.0,14.0,12.0,27.0
4,149,230,26,53,13,2,3,16.0,2.0,16,61.0,1.0,0.0,2.0,0.0,3.0
10,630,1780,241,462,86,2,93,342.0,0.0,199,472.0,8.0,17.0,0.0,32.0,56.0
1,9,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
22,737,139,12,28,3,0,3,11.0,0.0,6,37.0,0.0,0.0,16.0,0.0,1.0
16,447,388,14,33,7,1,0,21.0,1.0,14,236.0,0.0,0.0,24.0,1.0,4.0
1,1,4,1,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
1,4,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
8,799,2647,323,624,142,23,65,298.0,36.0,201,560.0,14.0,14.0,13.0,24.0,63.0
8,774,2492,301,675,125,2,110,415.0,3.0,319,444.0,42.0,18.0,0.0,27.0,87.0
3,211,665,57,146,19,4,2,37.0,12.0,37,128.0,2.0,4.0,12.0,3.0,16.0
19,1078,3048,299,707,108,54,22,317.0,86.0,263,336.0,0.0,12.0,99.0,0.0,0.0
6,30,28,1,2,1,0,0,0.0,0.0,0,8.0,0.0,0.0,5.0,0.0,0.0
3,34,59,4,10,0,0,0,2.0,0.0,9,17.0,0.0,0.0,3.0,0.0,0.0
1,10,17,1,4,0,0,0,1.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0
1,13,52,1,10,0,1,0,2.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0
5,125,9,0,1,0,0,0,0.0,0.0,0,6.0,0.0,0.0,0.0,0.0,0.0
17,496,92,3,7,2,0,0,4.0,0.0,1,51.0,0.0,1.0,10.0,0.0,1.0
4,174,475,64,124,17,9,11,69.0,7.0,63,64.0,0.0,1.0,14.0,0.0,0.0
1,5,6,0,2,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2,32,2,0,0,0,0,0,0.0,0.0,0,2.0,0.0,0.0,0.0,0.0,0.0
2,142,317,32,71,14,1,0,21.0,9.0,39,74.0,1.0,6.0,1.0,1.0,2.0
4,15,2,0,1,0,0,0,1.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0
1,3,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
5,66,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
1,6,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
5,31,1,0,1,0,0,0,1.0,0.0,0,0.0,0.0,0.0,2.0,0.0,0.0
1,6,18,1,5,1,0,0,0.0,0.0,0,2.0,0.0,0.0,0.0,0.0,0.0
1,4,7,0,0,0,0,0,0.0,0.0,2,3.0,0.0,0.0,1.0,0.0,0.0
5,120,426,62,84,10,6,1,50.0,27.0,52,61.0,0.0,9.0,0.0,0.0,0.0
6,385,1166,136,322,61,6,17,106.0,12.0,29,144.0,1.0,11.0,15.0,7.0,19.0
3,27,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
16,616,35,1,3,1,0,0,0.0,0.0,0,21.0,0.0,0.0,3.0,0.0,0.0
5,560,2243,365,613,137,25,90,311.0,60.0,163,422.0,8.0,16.0,2.0,16.0,18.0
2,19,12,0,1,0,0,0,0.0,0.0,0,7.0,0.0,0.0,0.0,0.0,1.0
2,3,3,0,0,0,0,0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,1.0
1,41,99,9,23,4,0,2,5.0,1.0,10,11.0,0.0,0.0,3.0,0.0,2.0
9,264,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
4,102,1,0,0,0,0,0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0
3,77,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
4,68,71,6,8,1,0,1,4.0,0.0,2,41.0,0.0,0.0,7.0,0.0,0.0
4,167,428,51,81,15,3,11,39.0,14.0,24,150.0,0.0,2.0,3.0,2.0,6.0
3,51,115,15,31,3,0,6,15.0,1.0,6,26.0,0.0,0.0,0.0,0.0,3.0
2,13,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
5,86,128,2,7,2,0,0,4.0,0.0,5,99.0,0.0,2.0,5.0,0.0,0.0
2,99,241,32,48,6,4,6,18.0,3.0,32,78.0,2.0,2.0,1.0,2.0,3.0
3,79,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
4,115,365,30,70,9,2,4,29.0,2.0,21,58.0,2.0,0.0,2.0,2.0,7.0
1,54,156,12,27,4,2,0,7.0,4.0,7,14.0,0.0,1.0,5.0,0.0,0.0
2,16,7,0,0,0,0,0,0.0,0.0,0,2.0,0.0,0.0,0.0,0.0,0.0
16,930,2147,277,565,104,9,41,271.0,19.0,314,381.0,29.0,5.0,14.0,18.0,43.0
15,229,1,0,0,0,0,0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0
2,13,18,1,1,0,1,0,1.0,0.0,0,9.0,0.0,0.0,0.0,0.0,0.0
5,62,1,0,0,0,0,0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0
9,248,581,46,133,14,4,2,60.0,2.0,10,41.0,0.0,0.0,32.0,0.0,0.0
4,118,320,34,67,11,3,2,34.0,3.0,31,35.0,0.0,1.0,4.0,0.0,7.0
2,9,1,0,0,0,0,0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0
7,662,2450,369,811,164,30,61,459.0,20.0,248,197.0,0.0,6.0,32.0,0.0,0.0
27,562,265,19,44,8,0,0,17.0,0.0,9,77.0,0.0,1.0,23.0,2.0,7.0
9,432,1276,169,293,45,11,55,202.0,8.0,154,381.0,12.0,5.0,4.0,19.0,34.0
3,36,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
1,7,11,0,1,0,0,0,0.0,1.0,0,5.0,0.0,0.0,0.0,0.0,0.0
9,374,168,111,36,4,2,0,4.0,103.0,18,26.0,1.0,1.0,8.0,0.0,2.0
