playerID,Seasons,Wins,Losses,Games,Pitch_Starts,Complete_Games,Shutouts,Saves,Outs_Pitched,Hits,Earned_Runs,Home_Runs,Walks,Strikeouts,Batters_Faced,Games_Finished,Runs_Allowed
lauerer01,4,21,24,81,74,0,0,0,1174,396,186,53,147,367,1705.0,0,205
lauzege01,4,4,8,34,14,2,0,0,340,110,63,23,48,73,491.0,7,63
lavelga01,15,80,77,745,3,0,0,136,3255,1004,353,51,440,769,4604.0,399,413
lavenji01,6,63,76,224,142,65,10,12,3622,1097,414,38,447,547,5058.0,50,547
lawde01,5,10,5,176,4,0,0,10,544,182,85,20,79,178,800.0,50,90
lawrebo01,1,0,0,1,0,0,0,0,3,1,1,0,1,1,5.0,1,1
lawrebr01,7,69,62,275,127,42,5,22,3122,1034,491,110,385,481,4448.0,75,539
lawrebr02,6,50,63,168,152,7,3,0,2889,1023,448,101,268,597,4123.0,5,485
lawreca01,4,3,3,38,2,0,0,0,236,105,58,13,35,66,370.0,17,60
lawreju01,1,1,0,19,0,0,0,0,50,21,16,0,19,17,86.0,4,16
lawrese01,1,2,1,7,3,0,0,0,59,25,16,4,10,12,92.0,0,16
lawro01,1,3,4,35,1,0,0,1,157,68,29,2,34,29,254.0,14,34
lawsoal01,3,0,3,3,3,2,0,0,57,27,14,0,14,3,98.0,0,27
lawsobo01,2,2,4,9,6,5,0,0,177,66,24,0,31,17,271.0,2,39
lawsoro01,11,47,39,208,83,34,2,11,2555,963,508,70,512,258,3961.0,78,562
lawsost01,1,0,0,13,0,0,0,1,48,13,5,1,10,13,71.0,3,6
lawva01,3,0,0,7,0,0,0,0,24,9,3,0,3,2,35.0,7,4
lawve01,16,162,147,483,364,119,28,13,8016,2833,1118,268,597,1092,11231.0,77,1274
laxtobi01,7,3,10,121,4,0,0,5,730,212,128,34,158,189,1091.0,44,144
laxtobr01,2,0,2,9,3,0,0,0,79,35,23,1,17,23,129.0,1,27
layanti01,3,5,5,78,0,0,0,2,308,101,52,9,56,68,454.0,26,56
layneto01,8,8,5,216,0,0,0,4,449,127,60,8,72,137,640.0,39,66
lazarda01,2,0,1,17,4,0,0,0,102,35,21,6,15,20,148.0,2,21
lazora01,1,0,0,7,0,0,0,0,17,5,2,1,2,5,24.0,1,2
