playerID,yearID,inducted,category
walshed01,1946,N,Player
friscfr01,1946,N,Player
hubbeca01,1946,N,Player
wadderu01,1946,N,Player
griffcl01,1946,N,Player
cochrmi01,1946,N,Player
hubbeca01,1946,N,Player
griffcl01,1946,N,Player
grovele01,1946,N,Player
friscfr01,1946,N,Player
cochrmi01,1946,N,Player
traynpi01,1946,N,Player
grovele01,1946,N,Player
brownmo01,1946,N,Player
tinkejo01,1946,N,Player
traynpi01,1946,N,Player
mcginjo01,1946,N,Player
maranra01,1946,N,Player
brownmo01,1946,N,Player
mcginjo01,1946,N,Player
deandi01,1946,N,Player
tinkejo01,1946,N,Player
gehrich01,1946,N,Player
pennohe01,1946,N,Player
deandi01,1946,N,Player
dickebi01,1946,N,Player
bakerfr01,1946,N,Player
bendech01,1946,N,Player
bakerfr01,1946,N,Player
schalra01,1946,N,Player
bendech01,1946,N,Player
planked01,1946,N,Player
dickebi01,1946,N,Player
terrybi01,1946,N,Player
vanceda01,1946,N,Player
maranra01,1946,N,Player
foxxji01,1946,N,Player
youngro01,1946,N,Player
gehrich01,1946,N,Player
heilmha01,1946,N,Player
klingjo01,1946,N,Player
pennohe01,1946,N,Player
jossad01,1946,N,Player
ruckena01,1946,N,Player
roushed01,1946,N,Player
crawfsa01,1946,N,Player
adamsba01,1946,N,Player
crigelo01,1946,N,Player
marquru01,1946,N,Player
wheatza01,1946,N,Player
woodjo02,1946,N,Player
donovbi01,1946,N,Player
gomezle01,1946,N,Player
wanerpa01,1946,N,Player
lyonste01,1946,N,Player
burkeje01,1946,N,Player
bushdo01,1946,N,Player
coombja01,1946,N,Player
davisha01,1946,N,Player
hartnga01,1946,N,Player
jacksjo01,1946,N,Player
mckecbi01,1946,N,Player
bancrda01,1946,N,Player
beaumgi01,1946,N,Player
bradlbi01,1946,N,Player
chesbja01,1946,N,Player
clarkjo01,1946,N,Player
cravaga01,1946,N,Player
dinnebi01,1946,N,Player
dunnja01,1946,N,Player
granted01,1946,N,Player
grimmch01,1946,N,Player
hoytwa01,1946,N,Player
jonesfi01,1946,N,Player
killebi01,1946,N,Player
knabeot01,1946,N,Player
