playerID,nameFirst,nameLast,weight,height,bats_L,bats_R,throws_L,throws_R,Seasons,Wins,Losses,Games,Pitch_Starts,Complete_Games,Shutouts,Saves,Outs_Pitched,Hits,Earned_Runs,Home_Runs,Walks,Strikeouts,Batters_Faced,Games_Finished,Runs_Allowed,finalGame,Retired_Years,inducted,yearID,Total_Games,Games_Started,Primary_Position,Hall_Eligible
rochear01,Armando,Roche,190.0,72.0,0,1,0,1,1,0,0,2,0,0,0,0,18,10,4,0,2,0,28.0,1,4,1945-06-05,76.98356164383561,N,0.0,2,0.0,Pitcher,not_eligible
rochfmi01,Mike,Rochford,205.0,76.0,1,0,1,0,3,0,1,8,1,0,0,0,31,18,11,2,9,2,57.0,4,17,1990-04-16,32.09041095890411,N,0.0,8,1.0,Pitcher,not_eligible
rockejo01,John,Rocker,210.0,76.0,0,1,1,0,8,13,22,280,0,0,0,88,766,200,97,23,164,332,1130.0,176,115,2003-05-14,19.005479452054796,N,0.0,280,0.0,Pitcher,not_eligible
rodasri01,Rich,Rodas,180.0,74.0,1,0,1,0,2,0,0,10,0,0,0,0,29,9,4,2,4,6,42.0,1,4,1984-06-19,37.917808219178085,N,0.0,10,0.0,Pitcher,not_eligible
rodgebr01,Brady,Rodgers,215.0,74.0,0,1,0,1,2,0,1,8,1,0,0,0,40,22,23,4,10,7,73.0,4,23,2019-06-05,2.9342465753424656,N,0.0,8,1.0,Pitcher,not_eligible
rodnefe01,Fernando,Rodney,240.0,71.0,0,1,0,1,25,48,71,951,0,0,0,327,2799,817,394,73,464,943,4064.0,590,433,2019-09-28,2.6191780821917807,N,0.0,951,0.0,Pitcher,not_eligible
rodonca01,Carlos,Rodon,245.0,75.0,1,0,1,0,7,42,38,121,116,2,1,0,2008,600,282,79,267,710,2857.0,1,309,2021-09-29,0.6136986301369863,N,0.0,121,116.0,Pitcher,not_eligible
rodrian01,Aneury,Rodriguez,250.0,76.0,0,1,0,1,2,1,6,44,9,0,0,0,274,85,52,15,34,70,391.0,16,59,2012-05-08,10.013698630136986,N,0.0,44,9.0,Pitcher,not_eligible
rodrich01,Chris,Rodriguez,185.0,74.0,0,1,0,1,1,2,1,15,2,0,0,0,89,28,12,0,15,29,134.0,1,14,2021-08-10,0.7506849315068493,N,0.0,15,2.0,Pitcher,not_eligible
rodride01,Dereck,Rodriguez,208.0,72.0,0,1,0,1,3,12,15,51,35,0,0,0,664,216,105,32,75,162,950.0,5,123,2020-08-16,1.7342465753424658,N,0.0,52,35.0,Pitcher,not_eligible
rodried01,Eduardo,Rodriguez,180.0,72.0,0,1,0,1,7,42,36,264,39,7,1,32,2202,681,317,65,323,430,3164.0,141,348,1979-09-17,42.67671232876712,N,0.0,264,39.0,Pitcher,not_eligible
rodried03,Eddy,Rodriguez,194.0,73.0,0,1,0,1,2,2,1,38,0,0,0,0,175,53,35,10,40,48,265.0,16,37,2006-07-31,15.789041095890411,N,0.0,38,0.0,Pitcher,not_eligible
rodried05,Eduardo,Rodriguez,231.0,74.0,1,0,1,0,6,64,39,159,153,0,0,0,2570,831,396,107,294,892,3649.0,1,410,2021-10-03,0.6027397260273972,N,0.0,159,153.0,Pitcher,not_eligible
rodrife01,Felix,Rodriguez,170.0,73.0,0,1,0,1,13,38,26,563,1,0,0,11,1759,526,242,50,283,512,2544.0,167,256,2006-09-30,15.62191780821918,N,0.0,563,1.0,Pitcher,eligible
rodrife02,Fernando,Rodriguez,235.0,75.0,0,1,0,1,6,11,15,216,0,0,0,0,695,197,112,24,109,242,984.0,39,119,2016-07-03,5.857534246575343,N,0.0,216,0.0,Pitcher,not_eligible
rodrifr01,Freddy,Rodriguez,180.0,72.0,0,1,0,1,2,0,0,8,0,0,0,2,28,12,9,3,5,6,47.0,3,9,1959-05-27,63.0,N,0.0,8,0.0,Pitcher,not_eligible
rodrifr02,Frankie,Rodriguez,193.0,72.0,0,1,0,1,9,29,39,184,82,3,0,5,1962,737,402,76,282,371,2914.0,31,444,2001-07-22,20.816438356164383,N,0.0,186,82.0,Pitcher,not_eligible
rodrifr03,Francisco,Rodriguez,195.0,72.0,0,1,0,1,20,52,53,948,0,0,0,437,2928,738,310,98,389,1142,4011.0,677,336,2017-06-22,4.887671232876713,N,0.0,948,0.0,Pitcher,not_eligible
rodrifr04,Francisco,Rodriguez,220.0,73.0,0,1,0,1,2,1,3,53,0,0,0,0,183,59,30,7,31,43,268.0,18,30,2011-05-09,11.013698630136986,N,0.0,53,0.0,Pitcher,not_eligible
rodrihe03,Henry,Rodriguez,225.0,73.0,0,1,0,1,8,5,7,150,0,0,0,11,451,124,72,9,107,151,687.0,60,82,2014-05-12,8.002739726027396,N,0.0,150,0.0,Pitcher,not_eligible
rodrije01,Jefry,Rodriguez,232.0,78.0,0,1,0,1,3,4,8,38,17,0,0,0,369,116,73,19,75,92,548.0,13,77,2021-08-22,0.7178082191780822,N,0.0,38,17.0,Pitcher,not_eligible
rodrijo02,Jose,Rodriguez,205.0,73.0,1,0,1,0,4,0,1,12,0,0,0,0,24,14,8,0,9,3,49.0,2,10,2002-07-13,19.84109589041096,N,0.0,12,0.0,Pitcher,not_eligible
rodrijo04,Joely,Rodriguez,200.0,73.0,1,0,1,0,6,3,5,102,0,0,0,1,287,106,49,8,42,89,432.0,15,59,2021-10-02,0.6054794520547945,N,0.0,103,0.0,Pitcher,not_eligible
rodrijo06,Jose,Rodriguez,175.0,74.0,0,1,0,1,2,0,1,10,1,0,0,0,64,19,6,5,12,13,92.0,2,6,2020-08-02,1.772602739726027,N,0.0,10,1.0,Pitcher,not_eligible
rodrima01,Manuel,Rodriguez,210.0,71.0,0,1,0,1,1,3,3,20,0,0,0,1,53,18,12,3,12,16,83.0,8,18,2021-09-16,0.6493150684931507,N,0.0,20,0.0,Pitcher,not_eligible
rodrine01,Nerio,Rodriguez,220.0,73.0,0,1,0,1,9,4,6,32,7,0,0,0,218,80,51,8,35,38,338.0,10,58,2002-08-29,19.71232876712329,N,0.0,32,7.0,Pitcher,not_eligible
rodrini01,Nivaldo,Rodriguez,214.0,73.0,0,1,0,1,2,0,1,9,0,0,0,0,48,19,8,5,10,11,77.0,7,9,2021-06-12,0.9123287671232876,N,0.0,9,0.0,Pitcher,not_eligible
rodrira01,Rafael,Rodriguez,195.0,73.0,0,1,0,1,4,0,1,21,0,0,0,0,106,52,22,5,12,13,169.0,8,25,2010-08-11,11.756164383561645,N,0.0,21,0.0,Pitcher,not_eligible
rodriri01,Rick,Rodriguez,190.0,75.0,0,1,0,1,4,3,4,31,8,0,0,0,231,97,49,9,41,22,356.0,15,51,1990-08-26,31.72876712328767,N,0.0,31,8.0,Pitcher,not_eligible
rodriri02,Rich,Rodriguez,185.0,70.0,1,0,1,0,15,31,22,609,2,0,0,8,1922,642,271,62,261,396,2750.0,146,304,2003-05-03,19.035616438356165,N,0.0,610,2.0,Pitcher,eligible
rodriri03,Ricardo,Rodriguez,195.0,75.0,1,0,0,1,4,10,15,39,36,1,1,0,620,224,119,33,75,104,916.0,0,133,2005-08-08,16.767123287671232,N,0.0,39,36.0,Pitcher,not_eligible
rodriri04,Ricardo,Rodriguez,220.0,74.0,0,1,0,1,2,0,1,20,0,0,0,1,59,28,12,3,5,14,91.0,4,12,2018-07-20,3.810958904109589,N,0.0,20,0.0,Pitcher,not_eligible
rodriri05,Richard,Rodriguez,220.0,76.0,0,1,0,1,7,16,14,228,0,0,0,19,684,197,83,34,60,230,939.0,84,87,2021-10-02,0.6054794520547945,N,0.0,228,0.0,Pitcher,not_eligible
rodriro01,Roberto,Rodriguez,185.0,75.0,0,1,0,1,7,4,3,57,5,0,0,7,337,128,60,13,37,91,494.0,19,71,1970-09-26,51.65753424657535,N,0.0,57,5.0,Pitcher,not_eligible
rodriro02,Rosario,Rodriguez,185.0,72.0,0,1,1,0,3,2,2,34,0,0,0,6,90,32,16,4,13,18,133.0,16,16,1991-10-04,30.621917808219177,N,0.0,34,0.0,Pitcher,not_eligible
